"race","All metro counties","Large central","Large fringe","Medium","Small","Micro","Noncore","All nonmetro counties"
"Overall",0.2247,0.223422786261762,0.218196278835193,0.232002694729164,0.232775211513865,0.237829794835841,0.244294136906586,0.2404
"NHW",0.2206,0.212327092293605,0.217803897072529,0.228678325861936,0.229854440709233,0.236698856674156,0.243931322185066,0.2396
"NHB",0.2723,0.280543238104363,0.255087549139745,0.274563877629889,0.271984067643328,0.269548707396433,0.266457528638708,0.2682
"NHAPI",0.1858,0.183577476043904,0.180404581538072,0.200841178401245,0.200647580984825,0.215266226995505,0.214486477772797,0.213
"H",0.2136,0.211790670591987,0.208269349955096,0.221081242490695,0.221419105751035,0.22587170135748,0.234107513358336,0.2284
