"race","All metro counties","Large central","Large fringe","Medium","Small","Micro","Noncore","All nonmetro counties"
"Overall",16.6,16.6,16.2,17,17,17.3,17.8,17.5
"NHW",16.2,15.8,16,16.7,16.7,17.1,17.6,17.3
"NHB",19.1,19.4,18.4,19.2,19.1,19,19.2,19.1
"NHAIAN",20.3,20.3,19.7,19.8,21.4,21.1,21.8,21.4
"NHAPI",15.1,15,14.8,15.8,16.1,16.9,17.4,16.9
"H",16.4,16.3,16.3,16.7,17.1,17.1,18.1,17.4
