"race","NE_metro","NE_nonmetro","MW_metro","MW_nonmetro","S_metro","S_nonmetro","W_metro","W_nonmetro"
"Overall",16,16.7,16.7,16.9,17.1,18,15.9,17.4
"NHW",15.8,16.8,16.1,16.9,16.9,17.8,15.7,17
"NHB",18.8,17.2,19.9,18.1,19,19.3,18.4,18.9
"NHAIAN",21.2,22,20.3,22,20.4,20.3,19.9,21.8
"NHAPI",14.7,16.1,15.2,17.6,15.5,18.1,15.2,17.1
"H",16.9,18.6,17.2,18.6,16.2,17.3,16.4,17.5
