"race","metro_lv","nonmetro_lv","metro_men_lv","nonmetro_men_lv","metro_women_lv","nonmetro_women_lv","abs_disp_mw","rel_disp_mw","abs_disp_m","rel_disp_m","abs_disp_w","rel_disp_w"
"Overall",16.566800391706,17.4980162061731,17.3113619536526,18.0121355401149,15.3234784653318,16.4929575384581,-0.931215814467009,0.946781634929651,-0.700773586462276,0.961094364135692,-1.16947907312629,0.929092215850352
"NHW",16.2346685735906,17.2904731013882,16.9500648246603,17.8486102709795,15.0449310241498,16.2714275022357,-1.05580452779757,0.938937210011171,-0.898545446319186,0.949657400062113,-1.22649647808597,0.924622687350729
"NHB",19.1054340574477,19.0926716061489,19.6159799002793,18.95361740239,17.9049695219227,18.5580382518557,0.0127624512988866,1.00066844764118,0.662362497889259,1.03494649511105,-0.653068729933004,0.964809387658865
"NHAIAN",20.3361446233123,21.4405740844395,20.9820088875117,21.878909868883,19.1170226304945,20.4008838348147,-1.10442946112726,0.948488811130818,-0.896900981371221,0.959006139394229,-1.28386120432022,0.937068353767631
"NHAPI",15.0754833031955,16.8572482682994,15.8465836666216,17.6775819476944,13.9801616973346,15.6787449764761,-1.78176496510397,0.894302739287845,-1.83099828107276,0.896422582766668,-1.69858327914157,0.891663313505637
"H",16.4205801177644,17.4354710542571,17.2596934682247,18.2296148989778,14.9303391804029,15.9775403345196,-1.01489093649267,0.941791596376464,-0.969921430753082,0.946794189777017,-1.04720115411668,0.934457924549614
