race,All metro counties,Large central,Large fringe,Medium,Small,Micro,Noncore,All nonmetro counties
Overall,"82.0 (82.0, 82.0)","82.8 (82.7, 82.8)","82.4 (82.4, 82.4)","81.3 (81.3, 81.3)","80.7 (80.6, 80.7)","79.7 (79.7, 79.8)","79.4 (79.4, 79.5)","79.6 (79.6, 79.6)"
NHW,"81.7 (81.7, 81.7)","82.3 (82.3, 82.4)","82.0 (82.0, 82.0)","81.1 (81.1, 81.1)","80.7 (80.6, 80.7)","79.7 (79.6, 79.7)","79.5 (79.4, 79.5)","79.6 (79.6, 79.6)"
NHB,"78.9 (78.9, 78.9)","78.7 (78.7, 78.7)","80.3 (80.3, 80.4)","78.0 (77.9, 78.1)","77.4 (77.3, 77.5)","76.7 (76.5, 76.8)","77.1 (76.9, 77.2)","76.9 (76.8, 77.0)"
NHAPI,"89.8 (89.7, 89.8)","90.0 (90.0, 90.1)","90.8 (90.7, 90.9)","87.9 (87.8, 88.0)","88.8 (88.6, 89.1)","87.1 (86.8, 87.4)","90.7 (90.1, 91.3)","87.7 (87.4, 87.9)"
H,"86.3 (86.3, 86.3)","86.5 (86.4, 86.5)","87.6 (87.5, 87.6)","84.8 (84.8, 84.9)","85.9 (85.8, 86.0)","84.5 (84.3, 84.6)","85.5 (85.3, 85.7)","84.8 (84.7, 84.9)"
