"gender","race","NE_metro","NE_nonmetro","MW_metro","MW_nonmetro","S_metro","S_nonmetro","W_metro","W_nonmetro"
"Men","Overall",16.8,17.3,17.4,17.5,17.9,18.4,16.7,18.2
"Men","NHW",16.6,17.4,16.7,17.4,17.6,18.3,16.5,17.7
"Men","NHB",19.2,17.5,20.4,17.9,19.5,19.3,18.8,18.7
"Men","NHAIAN",23.4,24.4,20.4,22.4,21.2,20.9,20.5,22.1
"Men","NHAPI",15.5,18.4,15.9,18.9,16.4,19.9,16,17.9
"Men","H",17.9,19.1,18.1,19.2,17,18.2,17.2,18.3
