"gender","race","NE_metro","NE_nonmetro","MW_metro","MW_nonmetro","S_metro","S_nonmetro","W_metro","W_nonmetro"
"Women","Overall",14.7,15.6,15.5,15.9,15.9,17.1,14.6,16.2
"Women","NHW",14.5,15.6,15,15.8,15.7,17,14.5,15.8
"Women","NHB",17.7,17.3,18.6,18.1,17.7,18.7,17.5,19
"Women","NHAIAN",19.1,19.8,19.8,21.3,19.2,19.1,18.6,20.7
"Women","NHAPI",13.6,14,14.2,16.2,14.3,16.8,14.1,15.9
"Women","H",15.2,17.3,15.7,17.2,14.8,15.8,14.9,16.1
