"race","All metro counties","Large central","Large fringe","Medium","Small","Micro","Noncore","All nonmetro counties"
"Overall",0.1868,0.184430079072794,0.180990766730808,0.193765766512097,0.196559988021286,0.203531312706661,0.210032639368605,0.2061
"NHW",0.1844,0.177391107900782,0.180538943307426,0.19162446385094,0.193955596158663,0.20218443873339,0.208382880995606,0.2047
"NHB",0.2272,0.230570297370554,0.214052565658039,0.232550025541627,0.235528045823463,0.240171071384421,0.243578627095947,0.2417
"NHAPI",0.156,0.154590386415475,0.151646959966813,0.166609486638891,0.166877112574773,0.18107063232365,0.176368589038251,0.1792
"H",0.1732,0.171212577818658,0.168098787549574,0.179795502963267,0.18287944522829,0.186337853244738,0.193795699596064,0.1887
